Date,stock,Open,High,Low,Close,Adj Close,Volume
2023-01-03,AAPL,282.391,283.0209,281.1706,281.9575,281.9575,40952895
2023-01-04,AAPL,281.9575,284.9925,281.4189,283.1226,283.1226,1824471
2023-01-05,AAPL,283.1226,287.8614,281.5719,286.5154,286.5154,34279858
2023-01-06,AAPL,286.5154,287.8433,285.6253,286.9491,286.9491,42289812
2023-01-09,AAPL,286.9491,287.9663,282.3321,284.1551,284.1551,48415313
2023-01-10,AAPL,284.1551,284.9975,281.7555,283.3239,283.3239,36754417
2023-01-11,AAPL,283.3239,284.947,282.2712,284.5695,284.5695,43372680
2023-01-12,AAPL,284.5695,287.135,284.4359,286.1104,286.1104,25877733
2023-01-13,AAPL,286.1104,290.7533,284.9762,290.7417,290.7417,45252897
2023-01-16,AAPL,290.7417,291.1318,281.811,282.8367,282.8367,28066854
2023-01-17,AAPL,282.8367,285.8799,282.3438,285.2777,285.2777,42074829
2023-01-18,AAPL,285.2777,288.2519,284.4776,287.6386,287.6386,9767314
2023-01-19,AAPL,287.6386,293.7162,286.7994,292.4253,292.4253,30778668
2023-01-20,AAPL,292.4253,296.7655,292.0051,296.2352,296.2352,37267164
2023-01-23,AAPL,296.2352,300.9992,294.8926,296.9231,296.9231,1753123
2023-01-24,AAPL,296.9231,297.2899,293.6669,295.3348,295.3348,44067522
2023-01-25,AAPL,295.3348,296.8966,293.433,293.9104,293.9104,6808898
2023-01-26,AAPL,293.9104,294.3391,289.9355,293.2223,293.2223,33139857
2023-01-27,AAPL,293.2223,293.7917,283.3617,283.367,283.367,43305206
2023-01-30,AAPL,283.367,288.3595,283.2993,287.1917,287.1917,5250542
2023-01-31,AAPL,287.1917,287.3524,285.8758,286.0256,286.0256,7064674
2023-02-01,AAPL,286.0256,286.3867,284.1449,285.2191,285.2191,44424697
2023-02-02,AAPL,285.2191,286.7174,277.5081,279.9557,279.9557,11046837
2023-02-03,AAPL,279.9557,281.7168,277.9547,281.0068,281.0068,22683851
2023-02-06,AAPL,281.0068,289.4089,280.7705,288.5306,288.5306,15306147
2023-02-07,AAPL,288.5306,289.3187,284.0043,284.259,284.259,28166560
2023-02-08,AAPL,284.259,296.8892,281.9759,296.4429,296.4429,38257805
2023-02-09,AAPL,296.4429,299.5536,294.8721,298.0793,298.0793,30530556
2023-02-10,AAPL,298.0793,300.4653,291.0896,291.381,291.381,32391144
2023-02-13,AAPL,291.381,299.9268,290.4282,299.417,299.417,49986027
2023-02-14,AAPL,299.417,300.4875,297.0845,298.3525,298.3525,3810664
2023-02-15,AAPL,298.3525,298.3996,297.5136,298.0328,298.0328,11823062
2023-02-16,AAPL,298.0328,304.8096,297.5661,303.5194,303.5194,44320935
2023-02-17,AAPL,303.5194,305.5211,296.4143,296.432,296.432,44040760
2023-02-20,AAPL,296.432,306.1254,293.8743,305.2413,305.2413,40152642
2023-02-21,AAPL,305.2413,308.7462,303.4995,308.5977,308.5977,6908294
